id,room_type,price,minimum_nights,number_of_reviews_ltm,reviews_per_month,latitude,longitude
13556338,Entire home/apt,100,7,0,0.19,51.51287,-0.03565
13556747,Private room,49,5,0,0.04,51.52591,-0.07417
13524327,Private room,43,1,0,0.04,51.53875,-0.10549
13524455,Private room,80,1,5,2.64,51.49868,-0.18508
13524465,Entire home/apt,70,4,0,0.02,51.53284,-0.09654
13472635,Private room,49,4,12,1,51.51202,-0.19068
13557685,Private room,33,2,0,0.04,51.58297,-0.07912
13557710,Private room,70,1,0,,51.52545,-0.06494
13557864,Private room,48,2,10,3.37,51.48071,-0.1872
13472704,Private room,40,2,0,,51.4174,-0.29391
13473438,Private room,30,1,0,0.11,51.55317,0.07099
13524668,Private room,70,1,0,,51.50216,-0.2511
13558588,Private room,79,1,70,5,51.53723,-0.13811
13558915,Entire home/apt,60,15,0,0.01,51.52306,-0.20106
13558977,Private room,55,2,0,0.73,51.4727,-0.16335
13559427,Entire home/apt,87,1,0,,51.54663,-0.17028
13525827,Entire home/apt,110,6,2,0.15,51.60357,-0.13467
13526066,Entire home/apt,120,5,2,0.2,51.53893,0.10964
13526521,Private room,21,1,0,,51.53484,-0.19319
13527279,Entire home/apt,100,4,0,0.03,51.48902,-0.20688
13528000,Private room,50,2,0,,51.6253,-0.29829
13528650,Entire home/apt,90,6,0,0.23,51.51153,-0.19822
13529798,Private room,24,1,0,0.17,51.4918,-0.37042
13530068,Entire home/apt,86,5,0,0.13,51.52302,-0.20832
13530407,Entire home/apt,77,7,0,0.04,51.52626,-0.19148
13530576,Private room,40,2,0,,51.4053,-0.23789
13533628,Private room,120,2,3,1.12,51.4549,-0.30873
13474477,Private room,50,1,7,1.43,51.41486,-0.19272
13474518,Private room,48,6,0,0.33,51.54679,-0.09579
13475013,Private room,22,2,0,0.38,51.55353,-0.11816
13476788,Entire home/apt,70,2,0,0.26,51.54171,-0.13354
13559787,Entire home/apt,100,3,0,,51.56012,-0.05625
13561162,Entire home/apt,129,1,9,1.17,51.5296,-0.14247
13561394,Entire home/apt,79,4,0,,51.46596,-0.15963
13534710,Private room,41,1,0,0.14,51.39213,0.11481
13534867,Private room,44,40,3,0.29,51.52661,-0.05765
13535637,Private room,37,1,0,0.01,51.57139,0.10256
13535650,Entire home/apt,201,3,0,0.1,51.52173,-0.11509
13561787,Entire home/apt,85,2,0,0.38,51.62682,-0.12939
13589872,Private room,36,2,0,0.19,51.52214,-0.04033
13590034,Entire home/apt,140,5,0,,51.43969,-0.20295
13561861,Private room,25,1,0,,51.62527,0.02759
13561941,Private room,75,1,4,0.73,51.53653,-0.07666
13574925,Entire home/apt,140,2,0,0.35,51.53956,-0.09921
13562302,Entire home/apt,204,1,0,,51.54972,-0.18231
13562628,Private room,40,3,0,0.01,51.53968,-0.06284
13590209,Private room,30,4,0,0.14,51.49253,-0.26081
13563023,Private room,36,4,0,0.12,51.52987,-0.08872
13567897,Private room,58,2,0,1.95,51.5209,-0.06105
13593300,Private room,90,2,0,,51.49758,-0.04905
13594306,Entire home/apt,110,3,0,0.09,51.53803,-0.19747
13575219,Entire home/apt,350,3,0,,51.49927,-0.20827
13575268,Entire home/apt,149,2,0,0.09,51.55387,-0.04274
13568268,Private room,27,2,0,0.14,51.44882,-0.00365
13580336,Private room,20,1,0,,51.36908,-0.12802
13581119,Entire home/apt,245,3,0,0.15,51.57092,-0.10899
13581224,Entire home/apt,105,3,0,0.95,51.5517,-0.14607
13581931,Entire home/apt,85,4,0,0.04,51.55083,-0.13926
13582704,Entire home/apt,65,4,0,0.04,51.52301,-0.07022
13582733,Entire home/apt,190,3,0,0.75,51.49889,-0.19759
13583284,Entire home/apt,135,5,0,0.34,51.48183,-0.01477
13569357,Private room,53,1,0,,51.47441,-0.06232
13583959,Entire home/apt,80,5,0,,51.43743,-0.15872
13584081,Private room,65,2,0,,51.44977,-0.13129
13569601,Private room,280,3,0,,51.45217,-0.13867
13584735,Private room,39,3,0,0.77,51.52777,-0.18821
13585668,Entire home/apt,56,7,0,0.2,51.44931,-0.11133
13585802,Private room,75,1,0,0.09,51.56905,-0.10861
13594409,Private room,20,2,0,0.01,51.59216,-0.01824
13594720,Entire home/apt,164,4,0,0.31,51.54075,-0.14055
13594947,Entire home/apt,100,1,0,0.07,51.47401,-0.18434
13595931,Private room,41,2,0,0.01,51.52292,-0.0763
13569822,Entire home/apt,110,3,0,,51.53806,-0.07607
13596007,Private room,55,1,0,0.3,51.49118,-0.20953
13570398,Entire home/apt,100,3,0,0.04,51.53266,-0.12772
13570995,Private room,60,1,0,0.11,51.44537,-0.20764
13586870,Private room,45,1,0,,51.4464,-0.18664
13571031,Private room,45,1,0,,51.52456,-0.19664
13587097,Private room,83,1,15,1.17,51.43978,-0.21847
13587367,Private room,32,1,0,0.09,51.52608,-0.09112
13587755,Entire home/apt,79,7,0,0.03,51.46307,-0.21958
13587775,Entire home/apt,70,3,0,,51.45464,0.13405
13596451,Entire home/apt,190,10,0,0.1,51.43706,-0.05122
13596689,Entire home/apt,99,5,0,0.14,51.49192,-0.00523
13597883,Entire home/apt,115,3,0,0.03,51.53784,-0.07377
13598348,Entire home/apt,80,3,0,0.01,51.41451,-0.08614
13598486,Entire home/apt,70,2,0,0.07,51.56595,0.13219
13572875,Entire home/apt,145,3,28,4.29,51.51164,-0.19329
13598500,Private room,35,14,0,,51.52267,-0.04333
13599265,Private room,90,2,0,0.12,51.44238,-0.19491
13599722,Entire home/apt,150,1,0,,51.51723,-0.20312
13588167,Private room,50,1,0,,51.53429,-0.21929
13573008,Entire home/apt,150,2,2,0.95,51.49085,-0.18345
13573334,Private room,27,7,0,0.04,51.5,-0.06701
13574116,Private room,30,7,0,,51.45135,-0.21042
13574181,Entire home/apt,60,3,0,0.06,51.43475,-0.05196
13618309,Private room,30,1,0,0.01,51.56599,-0.12532
13588230,Entire home/apt,133,3,0,0.13,51.53486,-0.07754
13588547,Private room,49,1,0,0.04,51.52128,-0.19361
13600948,Private room,17,15,0,0.06,51.5366,-0.02909
13601242,Entire home/apt,75,4,0,1.03,51.55297,-0.09009
13601289,Entire home/apt,100,4,0,,51.57088,-0.00069
13601559,Private room,50,2,0,0.01,51.54714,-0.1438
13618315,Entire home/apt,79,3,0,0.11,51.52589,-0.18466
13589068,Private room,70,7,0,,51.47595,-0.17447
13589671,Private room,23,28,0,5.57,51.48097,-0.44539
13618824,Entire home/apt,59,2,0,0.06,51.57944,-0.10239
13644986,Entire home/apt,198,4,1,0.35,51.48508,-0.18868
13602152,Private room,85,30,0,0.22,51.51483,-0.19726
13603144,Entire home/apt,164,2,21,1.76,51.54008,-0.13976
13603192,Private room,34,3,0,0.5,51.5806,-0.03597
13603356,Entire home/apt,150,5,0,0.29,51.42285,-0.21647
13619311,Entire home/apt,49,2,13,3.17,51.41609,-0.09918
13619784,Entire home/apt,39,1,0,0.02,51.48086,0.1691
13603538,Entire home/apt,160,2,0,0.26,51.51296,-0.30079
13619926,Entire home/apt,90,14,2,0.09,51.50694,-0.23993
13604317,Private room,20,2,0,0.03,51.54859,-0.10029
13604333,Private room,40,1,0,0.09,51.45958,-0.12506
13645138,Entire home/apt,92,1,12,1.56,51.47222,-0.10643
13645913,Entire home/apt,149,2,2,0.27,51.50139,-0.0972
13646230,Entire home/apt,616,1,0,0.02,51.47208,-0.18645
13646690,Entire home/apt,84,14,0,0.06,51.53465,-0.05208
13646696,Entire home/apt,65,4,0,0.01,51.54217,-0.10801
13647351,Entire home/apt,1700,1,0,,51.52402,-0.11597
13620282,Entire home/apt,150,5,0,0.01,51.4504,-0.18322
13620478,Private room,29,2,0,,51.51312,-0.25497
13648133,Private room,30,1,0,,51.49945,0.08661
13605584,Private room,20,3,0,,51.53171,-0.07474
13606215,Private room,26,1,16,0.74,51.56171554,0.159549787
13620569,Private room,35,2,0,0.04,51.47069,-0.01757
13608707,Private room,60,4,1,1.1,51.47924,-0.02826
13621020,Entire home/apt,385,1,0,0.02,51.49492,-0.16437
13648611,Entire home/apt,150,3,0,0.03,51.49594,-0.20246
13621365,Private room,30,1,0,1.81,51.40837,-0.2017
13621380,Private room,100,1,0,,51.49654,-0.12037
13648881,Private room,35,1,0,,51.40594,-0.19367
13649101,Private room,70,2,0,,51.48454,-0.1834
13649116,Entire home/apt,400,4,0,0.71,51.50004,-0.2192
13609107,Private room,25,2,0,0.04,51.51777,-0.05213
13609678,Private room,60,5,0,0.06,51.53584,-0.10245
13609757,Entire home/apt,244,10,0,,51.49723,-0.17243
13621465,Private room,48,3,0,0.03,51.5934,-0.17542
13622372,Entire home/apt,179,3,1,0.08,51.5732,-0.00397
13610003,Private room,55,1,0,0.02,51.46569,-0.37501
13610833,Entire home/apt,320,2,0,0.04,51.54429,-0.13275
13649721,Entire home/apt,743,5,0,0.6,51.515045,-0.125808
13649949,Private room,20,1,0,0.34,51.44293,-0.41374
13650094,Private room,250,2,0,,51.41559,-0.23555
13622773,Entire home/apt,115,3,1,3.81,51.49204,-0.09831
13627065,Private room,50,14,0,,51.45826,-0.03445
13650368,Entire home/apt,70,2,0,0.04,51.51276,0.00061
13611122,Private room,22,1,0,0.35,51.5334,-0.23399
13627377,Private room,100,1,0,0.21,51.4482,-0.2128
13611154,Private room,36,3,4,0.72,51.50403,-0.24233
13627469,Entire home/apt,650,2,0,,51.50402,-0.23129
13650403,Private room,30,1,0,0.28,51.40215,0.00783
13650493,Private room,30,8,1,0.54,51.57182,-0.12396
13650591,Private room,45,2,2,0.24,51.54991,-0.15678
13627746,Entire home/apt,189,1,0,0.27,51.51072,-0.07632
13651605,Entire home/apt,106,1,4,0.36,51.51763,-0.46523
13651650,Entire home/apt,120,3,0,,51.4722,-0.14995
13628189,Entire home/apt,180,2,0,0.36,51.48845,-0.13758
13651715,Private room,63,1,0,0.03,51.55681,-0.0899
13651780,Entire home/apt,129,1,3,0.57,51.51979,-0.46364
13651853,Entire home/apt,139,1,7,0.9,51.51804,-0.4631
13652219,Entire home/apt,150,4,1,1.67,51.49098,-0.23049
13652979,Private room,40,4,0,0.01,51.55084,-0.07512
13612902,Private room,104,3,0,,51.45208,-0.15025
13612994,Private room,25,2,0,0.01,51.56662,-0.40196
13613368,Entire home/apt,349,5,0,,51.44381,-0.22157
13613703,Private room,56,7,0,,51.47653,-0.17149
13613808,Entire home/apt,150,7,0,0.07,51.47436,-0.18529
13614242,Entire home/apt,340,3,0,,51.45139,-0.0793
13628894,Entire home/apt,76,1,0,0.02,51.54868,-0.10657
13629023,Private room,24,1,0,0.13,51.48694,-0.11745
13614606,Private room,15,1,0,,51.56326,0.00868
13615227,Entire home/apt,250,6,0,0.07,51.54696,-0.14229
13615234,Entire home/apt,89,3,0,0.27,51.4747,-0.18348
13653081,Private room,16,15,0,,51.51638,-0.06224
13653451,Private room,400,1,0,,51.49083,-0.04443
13654149,Entire home/apt,69,1,0,0.04,51.48867,-0.20287
13654459,Entire home/apt,62,4,0,0.19,51.49407,0.07225
13629555,Entire home/apt,150,3,0,,51.46206,-0.11826
13655364,Private room,39,10,0,,51.55376,-0.03621
13655394,Entire home/apt,98,3,4,0.16,51.47794,-0.11208
13629629,Entire home/apt,39,7,1,0.54,51.5739,-0.08182
13655648,Private room,11,10,0,,51.56645,-0.07289
13655773,Entire home/apt,98,3,0,,51.50919,-0.33789
13656172,Private room,39,2,0,0.48,51.53325,-0.0945
13656725,Entire home/apt,41,3,0,,51.40831,-0.22796
13656953,Private room,25,4,0,,51.55316,-0.07585
13657287,Private room,90,7,0,,51.52787,-0.05642
13657438,Entire home/apt,99,2,0,0.06,51.53728,-0.07827
13657746,Entire home/apt,200,5,0,,51.53901,-0.08022
13658387,Entire home/apt,75,1,0,,51.51699,-0.26426
13615825,Entire home/apt,75,1,0,0.03,51.41433,-0.31142
13616165,Private room,51,2,6,0.68,51.44127,-0.21699
13616432,Private room,100,1,0,,51.44164,-0.20491
13616561,Entire home/apt,164,4,0,0.99,51.52254,-0.10203
13630408,Private room,35,3,0,0.01,51.48206,-0.02016
13617607,Private room,56,1,0,,51.49339,-0.03657
13662352,Private room,40,4,16,0.8,51.48,-0.01229
13630421,Entire home/apt,190,1,0,0.68,51.51482,-0.13436
13630748,Entire home/apt,210,3,5,0.58,51.42558,-0.14889
13662527,Entire home/apt,75,14,0,0.01,51.43231,-0.17194
13631127,Private room,45,1,0,0.6,51.39784,-0.21748
13709467,Entire home/apt,130,2,20,2.8,51.47368,-0.08398
13709842,Entire home/apt,75,2,0,,51.49382,-0.06513
13632204,Private room,35,2,0,,51.51638,-0.21422
13662830,Entire home/apt,188,3,7,0.33,51.49289,-0.11899
13662873,Entire home/apt,83,3,2,1.5,51.5882,-0.25154
13662999,Entire home/apt,104,3,4,1.36,51.58798,-0.25128
13663053,Entire home/apt,70,3,0,1.16,51.58782,-0.25328
13632770,Entire home/apt,150,1,0,0.01,51.46414,-0.15538
13633183,Private room,45,1,0,,51.54516,-0.21918
13633842,Private room,25,1,0,,51.4594,-0.05352
13633942,Private room,35,3,0,0.06,51.51359,-0.04987
13634035,Entire home/apt,160,1,12,1.33,51.52408,-0.12365
13634335,Private room,40,1,0,,51.53601,-0.16628
13635217,Entire home/apt,256,2,17,1.53,51.51533,-0.17173
13635739,Entire home/apt,200,3,0,0.27,51.54674,-0.13943
13663187,Private room,50,3,0,0.26,51.4483,-0.2003
13636303,Entire home/apt,121,1,5,0.81,51.51956,-0.46361
13663264,Entire home/apt,186,3,40,2.81,51.49228,-0.20883
13664053,Private room,70,1,0,0.4,51.5112,-0.11883
13664528,Entire home/apt,70,4,0,0.28,51.60906,-0.12162
13664559,Private room,78,1,0,,51.49773,-0.08432
13664960,Private room,180,1,0,,51.49269,-0.17192
13664968,Entire home/apt,151,1,0,0.71,51.52081,-0.0717
13665139,Entire home/apt,196,3,0,0.34,51.50557,-0.14739
13665568,Entire home/apt,65,1,0,0.1,51.52565,-0.02438
13665750,Entire home/apt,91,2,0,,51.61281,-0.27794
13710318,Entire home/apt,130,7,1,0.17,51.46024,-0.19758
13710391,Entire home/apt,90,2,0,0.04,51.54847,-0.1025
13637685,Private room,50,2,0,,51.45761,-0.21289
13638287,Private room,30,7,0,,51.53882,-0.10908
13638430,Private room,45,1,0,0.01,51.48152,-0.18363
13665782,Private room,51,1,0,,51.51525,-0.06349
13666503,Private room,85,1,0,0.01,51.41656,-0.29374
13666898,Entire home/apt,324,3,9,1.66,51.48956,-0.13643
13638655,Entire home/apt,63,2,0,0.15,51.52873,-0.02095
13639977,Private room,62,1,0,0.16,51.446,-0.21652
13667061,Entire home/apt,133,2,0,0.72,51.4702,-0.17223
13710399,Private room,20,1,0,0.01,51.5711,-0.02243
13711407,Private room,26,2,0,0.01,51.54016,-0.20409
13711723,Entire home/apt,103,2,0,,51.49016,-0.09385
13711894,Private room,48,2,0,,51.40431,-0.1538
13639981,Private room,35,3,0,,51.5531,0.00615
13640745,Private room,40,2,0,0.43,51.49232,-0.04229
13711897,Private room,30,14,0,0.01,51.5135,-0.15693
13712199,Entire home/apt,167,7,0,0.03,51.42307,-0.30089
13668457,Entire home/apt,99,7,2,0.13,51.5449,-0.04723
13668721,Private room,32,1,0,0.03,51.52798,-0.19194
13642752,Private room,70,1,0,1.78,51.49183,-0.27911
13644563,Private room,25,1,0,0.03,51.54584,-0.08643
13712419,Private room,25,1,0,0.03,51.44462,-0.19308
13713436,Private room,60,1,0,0.32,51.4416,-0.20545
13644646,Private room,30,10,0,,51.48887,-0.08868
13684956,Entire home/apt,1000,28,0,0.04,51.51456,-0.13763
13713757,Private room,20,7,0,0.01,51.58772,-0.11289
13713957,Private room,21,1,35,5.74,51.499283,-0.41407
13714175,Entire home/apt,130,14,0,0.16,51.54641,-0.01173
13669680,Private room,40,1,0,0.03,51.47333,-0.18406
13685534,Entire home/apt,49,2,0,0.02,51.5795,-0.04036
13670366,Private room,35,3,0,0.01,51.367,-0.16533
13670740,Private room,45,15,0,,51.51156,-0.06177
13717205,Entire home/apt,250,7,0,,51.50698,-0.29664
13720464,Private room,36,2,0,0.31,51.51916,-0.04716
13686687,Entire home/apt,130,1,0,0.1,51.5193,-0.16138
13720652,Entire home/apt,215,3,0,0.34,51.48642,-0.19041
13720745,Private room,40,2,0,0.04,51.51266,-0.29204
13720758,Private room,50,1,0,,51.53368,-0.18252
13670800,Entire home/apt,100,4,6,0.75,51.53503,-0.11406
13670879,Entire home/apt,80,2,0,0.03,51.53361,-0.09986
13671064,Entire home/apt,120,5,0,0.07,51.45274,-0.07665
13687746,Entire home/apt,65,2,0,0.27,51.50285,-0.24844
13689690,Private room,30,2,0,5.71,51.46802,-0.18868
13671947,Entire home/apt,165,1,0,0.04,51.49701,-0.19819
13691214,Entire home/apt,71,1,0,,51.51668,-0.20088
13672092,Private room,30,1,0,0.2,51.48855,-0.20847
13672324,Entire home/apt,130,2,0,,51.4455,-0.11471
13672328,Private room,40,4,1,0.51,51.48022,-0.26629
13672765,Entire home/apt,48,2,0,0.45,51.40923,-0.28863
13672870,Private room,65,1,0,0.01,51.40084,-0.20895
13673045,Private room,30,4,0,0.23,51.48639,-0.20916
13673226,Private room,24,2,0,0.09,51.49827,-0.0085
13721728,Private room,45,3,0,0.03,51.59776,-0.08057
13691322,Entire home/apt,110,4,0,0.2,51.4204,-0.20484
13691887,Entire home/apt,90,3,0,,51.54439,-0.08886
13722086,Entire home/apt,75,3,0,0.01,51.46307,-0.36687
13722313,Private room,26,6,0,0.01,51.53483,-0.09904
13692162,Private room,22,1,0,,51.57595,-0.08725
13722386,Entire home/apt,215,3,2,0.43,51.57173,0.00278
13673883,Private room,40,3,0,,51.52887,-0.13768
13674109,Private room,25,1,0,,51.5132,-0.24961
13692946,Private room,89,2,7,1.54,51.47943,-0.17009
13674775,Private room,60,1,0,,51.42739,-0.18997
13678376,Private room,30,1000,0,0.17,51.55162,-0.22961
13679473,Entire home/apt,55,4,0,,51.45095,-0.1434
13679552,Private room,69,1,0,0.04,51.5298,-0.20601
13679880,Private room,30,2,3,0.78,51.45052,-0.19887
13680661,Entire home/apt,150,2,0,,51.4245,-0.1562
13681027,Entire home/apt,207,3,7,0.92,51.51553,-0.19906
13681594,Private room,60,1,1,0.22,51.41249,-0.22093
13722522,Private room,40,3,1,0.06,51.59884,-0.08007
13738905,Entire home/apt,85,4,0,0.04,51.52752,-0.20373
13738915,Entire home/apt,116,3,0,0.03,51.53212,-0.19937
13738984,Entire home/apt,69,91,0,0.2,51.4915,-0.17118
13739488,Entire home/apt,150,1,0,,51.47554,-0.19663
13693284,Private room,40,2,0,,51.49472,-0.06818
13693332,Entire home/apt,200,5,0,,51.43752,-0.20417
13693711,Private room,50,1,0,,51.56709,-0.13044
13693764,Entire home/apt,70,3,3,0.49,51.5411,0.08214
13694277,Private room,32,3,0,,51.56317,-0.06024
13694476,Entire home/apt,65,7,0,,51.54494,-0.21039
13739577,Private room,40,5,0,,51.46579,-0.14919
13739688,Private room,27,2,8,0.19,51.48754,-0.27162
13694729,Entire home/apt,90,2,0,0.19,51.5436,-0.05647
13694744,Entire home/apt,65,2,0,0.01,51.48508,-0.11397
13695054,Entire home/apt,40,21,0,,51.51162,-0.03152
13695130,Private room,34,1,0,,51.44108,-0.13257
13695320,Private room,25,1,0,0.01,51.55927,-0.11451
13740653,Private room,50,1,0,,51.56144,-0.08181
13740928,Private room,35,20,0,,51.50534,-0.08924
13741967,Private room,47,3,0,,51.4895,-0.20249
13742022,Private room,45,1,0,0.03,51.5781,-0.10335
13742028,Entire home/apt,271,5,0,0.09,51.5154,-0.14201
13683053,Private room,55,2,0,,51.5209,-0.05108
13684452,Entire home/apt,110,2,0,0.19,51.45261,-0.14329
13684667,Entire home/apt,140,3,0,0.01,51.522,-0.15173
13757856,Private room,29,1,0,0.14,51.53676,-0.05438
13758288,Private room,29,2,22,1.46,51.48738,0.02275
13695897,Private room,39,1,0,,51.54567,-0.17314
13696098,Entire home/apt,75,5,0,0.03,51.54385,-0.19559
13696483,Private room,20,27,0,,51.5149,-0.20643
13758771,Entire home/apt,177,3,0,,51.54508,-0.06495
13696569,Entire home/apt,40,1,0,0.1,51.5788,-0.33446
13696902,Entire home/apt,77,4,0,0.11,51.52913,-0.09217
13697433,Entire home/apt,170,3,0,0.01,51.55183,-0.15892
13699101,Entire home/apt,65,1,0,0.15,51.5552,-0.07467
13759781,Entire home/apt,126,1,0,0.11,51.52917,-0.08501
13759816,Entire home/apt,142,2,0,,51.51193,-0.14649
13703593,Entire home/apt,165,5,0,0.27,51.46298,-0.16121
13762479,Entire home/apt,125,14,0,0.41,51.51533,-0.10909
13762972,Entire home/apt,95,2,0,0.94,51.53808,-0.05999
13762995,Entire home/apt,145,7,4,0.28,51.43815,0.11849
13763221,Entire home/apt,207,3,0,0.43,51.58581,-0.07955
13742333,Entire home/apt,61,1,0,,51.46299,-0.15899
13742873,Private room,34,14,0,,51.45888,-0.03472
13743549,Entire home/apt,171,5,0,,51.45429,-0.15519
13744288,Entire home/apt,89,8,0,,51.46182,-0.16538
13744498,Private room,50,1,0,0.06,51.52633,-0.09274
13755276,Entire home/apt,95,14,2,0.54,51.50023,-0.22438
13703855,Private room,50,1,0,,51.57532,-0.08203
13704005,Private room,125,5,0,,51.55445,-0.14131
13704966,Private room,60,3,0,,51.5591,-0.19899
13705268,Entire home/apt,125,4,0,,51.51508,-0.12369
13707499,Private room,20,7,0,,51.6699,-0.02337
13707865,Entire home/apt,373,5,0,,51.45274,-0.16446
13755887,Entire home/apt,220,7,0,0.04,51.46949,-0.07664
13756023,Entire home/apt,60,10,0,0.01,51.45604,0.13884
13756497,Private room,45,1,0,0.01,51.5918,0.21258
13756776,Private room,30,1,0,0.07,51.53679,-0.02288
13757200,Private room,40,2,0,0.16,51.51198,-0.06806
13757843,Entire home/apt,150,2,7,0.82,51.50494,-0.234
13791644,Private room,29,21,4,0.5,51.5546,-0.08077
13763334,Private room,39,2,22,2.55,51.48647,0.02224
13763507,Private room,25,2,0,0.97,51.64653,-0.18871
13708375,Private room,30,5,0,,51.4138,-0.19216
13722557,Private room,50,1,2,0.67,51.54864,-0.10782
13722710,Private room,33,3,0,0.06,51.56077,-0.21756
13723451,Entire home/apt,120,7,0,0.01,51.48289,-0.21579
13763886,Entire home/apt,60,1,0,0.04,51.55617,0.12916
13763897,Private room,35,1,0,0.01,51.44949,-0.17409
13723617,Private room,59,3,0,0.01,51.52461,-0.02331
13764918,Private room,30,1,0,0.01,51.49065,-0.1916
13724152,Entire home/apt,120,3,2,1.08,51.56522,-0.08737
13766921,Private room,55,2,4,0.48,51.45788,-0.11826
13792116,Entire home/apt,195,4,5,0.28,51.49119,-0.15954
13792333,Entire home/apt,175,3,3,0.84,51.51072,-0.19545
13792640,Entire home/apt,139,4,0,0.09,51.47177,-0.1992
13725227,Private room,45,1,0,0.06,51.46751,-0.17005
13792824,Private room,45,2,0,,51.46201,-0.11483
13725446,Entire home/apt,82,2,6,0.75,51.53345,-0.04204
13726063,Entire home/apt,85,2,0,0.32,51.52517,-0.07747
13792904,Private room,99,1,0,0.52,51.53583,-0.07621
13793177,Private room,36,1,0,,51.53723,-0.29911
13726146,Entire home/apt,220,14,0,0.43,51.48503,-0.20405
13793236,Entire home/apt,175,1,0,0.03,51.39485,-0.07046
13793685,Private room,35,1,0,0.04,51.54596,-0.21398
13793727,Entire home/apt,93,4,3,0.5,51.46989,-0.14858
13767495,Private room,55,1,0,0.01,51.53625,-0.19572
13726308,Private room,305,1,0,,51.52775,-0.0997
13726480,Private room,30,25,0,,51.53015,-0.05977
13726598,Private room,22,4,0,,51.52565,-0.06425
13767530,Entire home/apt,120,2,0,0.04,51.54376,-0.11098
13728532,Private room,52,1,1,0.06,51.3916,0.12368
13767988,Private room,45,1,0,,51.54749,-0.09889
13768239,Private room,29,2,0,0.07,51.53188,-0.07906
13728633,Private room,55,2,0,,51.5208,-0.07707
13828373,Entire home/apt,100,4,0,0.02,51.57389,-0.11554
13728982,Private room,29,1,0,,51.5154,-0.0763
13829061,Private room,36,1,0,0.1,51.49828,0.11594
13729185,Entire home/apt,120,2,0,,51.50702,-0.00493
13832394,Private room,50,5,0,,51.55675,-0.05317
13769236,Private room,45,3,0,0.02,51.49619,-0.04178
13729313,Entire home/apt,185,4,4,0.45,51.51599,-0.18624
13729392,Entire home/apt,130,3,0,,51.45544,-0.20108
13770408,Private room,30,7,0,,51.55716,-0.13653
13773755,Private room,105,20,1,0.2,51.46352,-0.15809
13773933,Private room,39,7,0,0.1,51.5451,-0.05027
13832907,Private room,26,1,0,,51.41349,-0.37013
13833113,Private room,35,2,0,0.29,51.43801,0.0733
13730707,Entire home/apt,54,7,0,,51.55014,-0.2273
13730734,Entire home/apt,105,3,0,0.1,51.49876,-0.30903
13730790,Entire home/apt,56,7,0,,51.51157,-0.1812
13775380,Entire home/apt,125,3,0,0.07,51.5431,-0.1281
13775401,Private room,29,5,0,0.14,51.53117,-0.24905
13731084,Entire home/apt,200,5,0,0.18,51.48191,-0.21942
13833612,Entire home/apt,105,4,0,0.2,51.51147,-0.05733
13731342,Private room,27,1,0,,51.54736,-0.20167
13731642,Private room,60,1,0,0.11,51.4922,-0.19103
13775404,Entire home/apt,48,1,0,0.04,51.49595,-0.08404
13732080,Entire home/apt,99,2,0,0.03,51.56329,-0.07206
13834712,Entire home/apt,200,7,0,0.01,51.4624,-0.04164
13834959,Entire home/apt,87,1,0,0.03,51.52147,-0.10573
13732292,Entire home/apt,90,3,20,1.79,51.51771,-0.30153
13737050,Private room,45,14,0,,51.50597,-0.22913
13835115,Entire home/apt,200,7,0,,51.56155,-0.05265
13835555,Private room,27,6,0,0.12,51.50377,-0.26605
13775884,Entire home/apt,43,3,0,0.01,51.56714,-0.07372
13776395,Entire home/apt,150,1,0,,51.46404,-0.18457
13737095,Entire home/apt,100,2,0,0.09,51.46921,-0.0588
13738513,Private room,40,1,0,0.76,51.51592,-0.06608
13744968,Entire home/apt,100,2,0,0.06,51.41463,-0.09297
13776671,Entire home/apt,95,7,0,0.85,51.55293,-0.10513
13776765,Private room,26,14,0,,51.50013,-0.23872
13745491,Entire home/apt,80,2,0,0.19,51.43642,-0.11265
13746187,Private room,56,1,0,0.01,51.53299,-0.14312
13776998,Entire home/apt,110,3,3,0.14,51.51947,-0.04334
13747117,Entire home/apt,59,7,0,,51.5611,-0.11035
13747284,Private room,23,5,0,0.01,51.53073,-0.02803
13777257,Private room,39,2,0,0.03,51.55199,-0.05185
13835786,Private room,30,1,3,0.75,51.44344,-0.19042
13835873,Private room,31,2,0,1.29,51.4539,-0.0342
13749267,Private room,30,4,0,,51.53438,-0.06254
13835874,Entire home/apt,120,3,0,0.11,51.46278,-0.00433
13836032,Private room,25,5,0,0.09,51.49278,-0.20485
13836041,Private room,37,1,0,0.76,51.56123,-0.07485
13778244,Entire home/apt,100,2,0,0.23,51.52994,-0.08287
13778818,Entire home/apt,170,1,0,0.07,51.51285,-0.18572
13749497,Entire home/apt,119,4,2,0.96,51.52258,-0.11265
13749515,Private room,40,1,0,0.07,51.41673,-0.20226
13779499,Private room,43,1,0,,51.48823,-0.11019
13779590,Entire home/apt,160,3,2,0.21,51.54244,-0.18419
13749720,Private room,87,2,0,0.4,51.49915,-0.19727
13749845,Private room,28,1,0,0.14,51.48035,-0.41411
13836324,Private room,28,1,33,2.38,51.46524,-0.37617
13750008,Private room,55,2,0,,51.41419,-0.20321
13750220,Entire home/apt,79,5,0,0.11,51.50439,-0.22181
13751234,Private room,25,1,0,0.99,51.53508,-0.13896
13779726,Private room,45,1,0,,51.42521,-0.07683
13780478,Entire home/apt,99,3,0,0.38,51.48755,-0.20606
13754210,Entire home/apt,32,21,0,0.01,51.41648,-0.07137
13836574,Private room,80,1,0,0.12,51.52121,-0.15522
