id,room_type,price,minimum_nights,number_of_reviews_ltm,reviews_per_month,latitude,longitude
91287,Entire home/apt,185,7,1,0.32,51.54026,-0.11712
92399,Entire home/apt,85,4,23,1.82,51.55104,-0.08324
123522,Entire home/apt,99,2,0,0.11,51.52359,-0.19587
92644,Private room,42,1,0,1.39,51.44201,-0.18739
93015,Entire home/apt,100,3,7,0.26,51.49993,-0.21707
179312,Entire home/apt,45,2,0,0.12,51.55191,-0.11497
127860,Private room,1000,2,0,,51.44777,-0.33962
97974,Private room,30,2,0,0.84,51.46652,-0.23675
98541,Entire home/apt,80,8,1,0.3,51.57271,-0.13948
98776,Private room,27,1,4,0.88,51.53443,0.02706
131444,Entire home/apt,100,4,2,0.97,51.49148,-0.11151
99333,Entire home/apt,118,7,0,1.01,51.54873,-0.10569
182802,Private room,55,1,18,1.52,51.43855,-0.32191
183128,Private room,69,3,0,1.17,51.49882,-0.10293
137581,Entire home/apt,130,5,0,1.64,51.51099,-0.07862
186682,Entire home/apt,69,2,0,0.45,51.54209,-0.202
99742,Private room,350,1,0,,51.50134,-0.22922
100326,Private room,250,2,0,0.86,51.56495,-0.05796
241133,Private room,33,120,0,0.01,51.60531,-0.14814
138800,Private room,75,1,0,0.55,51.51556,-0.04032
241621,Private room,33,3,0,0.88,51.42865,-0.15725
189002,Private room,85,2,0,0.04,51.49094,-0.27008
139142,Entire home/apt,82,6,4,0.84,51.5558,-0.12928
190015,Entire home/apt,85,3,0,0.14,51.53715,-0.06418
241975,Private room,35,2,4,0.24,51.56094,-0.10893
142117,Entire home/apt,140,3,5,0.69,51.52851,-0.08985
198258,Private room,52,2,6,0.26,51.5343,0.08178
143028,Entire home/apt,180,1,0,0.07,51.40066,-0.19158
198279,Private room,35,10,4,1.87,51.51462,-0.05969
200713,Private room,18,3,0,0.37,51.3843,-0.12723
243077,Entire home/apt,123,5,0,0.18,51.55314,-0.04586
244112,Private room,50,2,4,1.17,51.54233,-0.09941
244125,Entire home/apt,614,1,15,2.63,51.52932,-0.08094
143478,Private room,35,1,1,0.27,51.54017,-0.05457
244126,Entire home/apt,171,1,26,1.08,51.53261,-0.08277
201463,Entire home/apt,65,90,14,1.45,51.53561,-0.11338
143568,Entire home/apt,80,7,0,0.34,51.53263,-0.0118
207912,Private room,35,2,4,0.53,51.3676,-0.12209
245116,Private room,70,1,3,0.16,51.55012,-0.11695
245825,Private room,56,1,0,,51.63021,-0.13472
145612,Private room,30,7,2,0.78,51.50426,-0.33444
152863,Entire home/apt,170,4,0,0.05,51.58409,-0.14625
154221,Entire home/apt,83,2,0,0.01,51.4897,-0.13911
246271,Private room,74,4,2,0.25,51.53299,-0.0335
208952,Private room,263,2,0,,51.55239,-0.0346
157536,Private room,52,5,0,1.61,51.48849,-0.08616
210010,Entire home/apt,94,7,0,0.09,51.51566,-0.17467
157714,Private room,70,4,0,1.24,51.48974,-0.22208
159736,Private room,40,5,6,0.69,51.46788,-0.09993
165336,Entire home/apt,60,1,10,1.46,51.51735,-0.21076
213024,Entire home/apt,67,21,1,0.2,51.52945,-0.19746
249238,Private room,40,1,0,0.16,51.53152,-0.09268
