id,property_type_2020,price_2020,number_of_reviews_ltm_2020,reviews_per_month_2020,room_type_2022,price_2022,latitude,longitude,minimum_nights,reviews_per_month_2022
84532.0,Private room in apartment,$29.00,7.0,1.13,Private room,33,51.57765,-0.06197,2,1.0
85191.0,Private room in house,$58.00,15.0,3.64,Private room,60,51.49168,-0.1157,2,3.25
85406.0,Entire apartment,$152.00,3.0,0.32,Entire home/apt,151,51.51853,-0.18351,10,0.27
86092.0,Entire apartment,$98.00,8.0,0.89,Entire home/apt,130,51.48606,-0.19752,3,0.92
87514.0,Entire apartment,$99.00,2.0,1.57,Entire home/apt,129,51.52479,-0.11648,3,1.38
87827.0,Private room in apartment,$150.00,0.0,,Private room,150,51.5107,-0.18997,30,
88032.0,Private room in house,$80.00,0.0,0.4,Private room,80,51.44614,-0.20566,2,0.34
89094.0,Shared room in apartment,$50.00,0.0,,Shared room,50,51.48055,0.07261,4,
89787.0,Entire apartment,$55.00,0.0,0.04,Entire home/apt,55,51.44742,-0.43175,2,0.03
90358.0,Entire apartment,$187.29,0.0,0.41,Entire home/apt,286,51.49875,-0.19263,3,0.35
90549.0,Private room in apartment,$50.00,33.0,3.54,Private room,47,51.49764,-0.01365,2,2.3
92399.0,Entire guest suite,$60.00,10.0,1.9,Entire home/apt,85,51.55104,-0.08324,4,1.82
92644.0,Private room in apartment,$42.00,4.0,1.62,Private room,42,51.44201,-0.18739,1,1.39
93015.0,Entire apartment,$115.00,6.0,0.22,Entire home/apt,100,51.49993,-0.21707,3,0.26
93263.0,Entire apartment,$62.00,3.0,0.25,Entire home/apt,95,51.4175,-0.19643,31,0.21
93500.0,Private room in apartment,$45.00,0.0,0.49,Private room,45,51.46672,-0.12717,2,0.4
94138.0,Entire apartment,$75.00,7.0,1.47,Entire home/apt,75,51.52764,-0.05293,2,0.88
96052.0,Private room in apartment,$46.00,3.0,0.62,Private room,46,51.5593,-0.22497,3,0.53
96640.0,Private room in apartment,$100.00,0.0,,Private room,100,51.57175,-0.08365,1,
97506.0,Private room in apartment,$35.00,2.0,0.3,Private room,35,51.42996,-0.12161,2,0.26
98541.0,Entire apartment,$80.00,2.0,0.34,Entire home/apt,80,51.57271,-0.13948,8,0.3
98776.0,Private room in townhouse,$27.00,9.0,0.99,Private room,27,51.53443,0.02706,1,0.88
99333.0,Entire apartment,$74.86,11.0,1.37,Entire home/apt,118,51.54873,-0.10569,7,1.01
99742.0,Private room in house,$350.00,0.0,,Private room,350,51.50134,-0.22922,1,
100326.0,Private room in apartment,$33.00,4.0,1.01,Private room,250,51.56495,-0.05796,2,0.86
100479.0,Private room in apartment,$55.00,0.0,0.06,Private room,55,51.52819,-0.0561,1,0.05
102391.0,Entire house,$135.00,0.0,0.25,Entire home/apt,250,51.54713,-0.05522,2,0.21
102565.0,Private room in apartment,$95.00,13.0,2.98,Private room,95,51.50551,-0.10952,5,2.58
103682.0,Private room in townhouse,$68.00,11.0,0.67,Private room,68,51.5347,-0.03215,3,0.56
103865.0,Private room in house,$81.00,0.0,,Private room,81,51.4866,-0.22458,3,
106332.0,Private room in house,$55.00,0.0,0.58,Private room,55,51.52874,-0.05396,3,0.5
107048.0,Entire loft,$93.00,18.0,4.2,Entire home/apt,126,51.52478,-0.10484,4,3.58
107051.0,Campsite,$159.00,47.0,4.25,Entire home/apt,204,51.52055,-0.18317,2,4.19
116268.0,Private room in townhouse,$25.00,2.0,0.25,Private room,25,51.61137,-0.11888,5,0.27
117203.0,Entire apartment,$100.00,2.0,0.54,Entire home/apt,138,51.50155,-0.233,4,0.53
123522.0,Entire apartment,$99.00,0.0,0.21,Entire home/apt,99,51.52359,-0.19587,2,0.11
127860.0,Private room in house,"$1,000.00",0.0,,Private room,1000,51.44777,-0.33962,2,
131444.0,Entire apartment,$90.00,10.0,1.11,Entire home/apt,100,51.49148,-0.11151,4,0.97
137581.0,Entire apartment,$130.00,0.0,1.92,Entire home/apt,130,51.51099,-0.07862,5,1.64
138800.0,Private room in house,$55.00,0.0,0.68,Private room,75,51.51556,-0.04032,1,0.55
142117.0,Entire apartment,$140.00,3.0,0.76,Entire home/apt,140,51.52851,-0.08985,3,0.69
143028.0,Entire house,$138.00,1.0,0.11,Entire home/apt,180,51.40066,-0.19158,1,0.07
143568.0,Entire apartment,$75.00,1.0,0.42,Entire home/apt,80,51.53263,-0.0118,7,0.34
145612.0,Private room in apartment,$28.00,3.0,0.89,Private room,30,51.50426,-0.33444,7,0.78
154221.0,Entire apartment,$83.00,0.0,0.02,Entire home/apt,83,51.4897,-0.13911,2,0.01
157536.0,Private room in apartment,$52.00,9.0,1.91,Private room,52,51.48849,-0.08616,5,1.61
157714.0,Private room in townhouse,$46.00,16.0,1.45,Private room,70,51.48974,-0.22208,4,1.24
159736.0,Private room in apartment,$34.00,3.0,0.72,Private room,40,51.46788,-0.09993,5,0.69
165336.0,Entire apartment,$50.00,12.0,1.6,Entire home/apt,60,51.51735,-0.21076,1,1.46
168359.0,Entire apartment,$111.00,0.0,0.09,Entire home/apt,111,51.49185,-0.08823,2,0.08
170524.0,Entire apartment,"$1,300.00",0.0,,Entire home/apt,1300,51.50612,-0.14029,14,
170702.0,Private room in apartment,$60.00,6.0,1.23,Private room,60,51.49686,-0.02627,3,1.05
172629.0,Private room in apartment,$85.00,26.0,1.77,Private room,85,51.49577,-0.1954,3,1.48
172807.0,Entire apartment,$215.00,0.0,0.16,Entire home/apt,203,51.51789,-0.158,3,0.13
172811.0,Entire apartment,$229.00,0.0,,Entire home/apt,229,51.5471,-0.17981,21,
174132.0,Private room in apartment,$59.00,18.0,1.68,Private room,70,51.52636,-0.18801,1,1.49
175892.0,Entire apartment,$89.00,3.0,1.61,Entire home/apt,212,51.52948,-0.08591,7,1.48
178519.0,Entire apartment,$150.00,0.0,0.2,Entire home/apt,150,51.53753,-0.24013,3,0.16
179312.0,Entire condominium,$45.00,0.0,0.18,Entire home/apt,45,51.55191,-0.11497,2,0.12
182802.0,Private room in house,$50.00,11.0,1.61,Private room,55,51.43855,-0.32191,1,1.52
183128.0,Private room in apartment,$69.00,8.0,1.38,Private room,69,51.49882,-0.10293,3,1.17
186682.0,Entire apartment,$66.00,8.0,0.54,Entire home/apt,69,51.54209,-0.202,2,0.45
189002.0,Private room in apartment,$85.00,0.0,0.05,Private room,85,51.49094,-0.27008,2,0.04
190015.0,Entire apartment,$85.00,0.0,0.17,Entire home/apt,85,51.53715,-0.06418,3,0.14
198258.0,Private room in apartment,$39.00,2.0,0.25,Private room,52,51.5343,0.08178,2,0.26
198279.0,Private room in apartment,$35.00,22.0,2.18,Private room,35,51.51462,-0.05969,10,1.87
200713.0,Private room in townhouse,$18.00,0.0,0.43,Private room,18,51.3843,-0.12723,3,0.37
207912.0,Private room in house,$35.00,0.0,0.59,Private room,35,51.3676,-0.12209,2,0.53
208952.0,Private room in house,$263.00,0.0,,Private room,263,51.55239,-0.0346,2,
210010.0,Entire apartment,$94.00,3.0,0.16,Entire home/apt,94,51.51566,-0.17467,7,0.09
